"sequence","timeline","second","Tn"
1,14H 6M 39.769S,0,0
2,14H 52M 37.156S,2757.387,2757.387
3,15H 42M 3.139S,5723.37,2965.983
4,15H 47M 29S,6049.231,325.860999999997
5,15H 47M 36S,6056.231,7
6,15H 47M 40S,6060.231,4
7,15H 47M 44S,6064.231,4
8,15H 47M 52S,6072.231,8
9,15H 48M 9S,6089.231,17
10,15H 48M 52.588S,6132.819,43.5880000000034
11,15H 48M 52.613S,6132.844,0.0249999999941792
12,15H 48M 52.618S,6132.849,0.00500000000465661
13,15H 48M 52.632S,6132.863,0.0139999999955762
14,15H 48M 52.641S,6132.872,0.00900000000547152
15,15H 48M 52.682S,6132.913,0.0409999999974389
16,15H 48M 52.74S,6132.971,0.0579999999972642
17,15H 48M 52.778S,6133.009,0.0380000000004657
18,15H 48M 52.782S,6133.013,0.00400000000081491
19,15H 48M 52.878S,6133.109,0.0959999999977299
20,15H 48M 53S,6133.231,0.122000000003027
21,15H 48M 53.255S,6133.486,0.254999999997381
22,15H 48M 53.622S,6133.853,0.367000000005646
23,15H 48M 53.649S,6133.88,0.0269999999945867
24,15H 48M 53.708S,6133.939,0.059000000001106
25,15H 48M 53.93S,6134.161,0.222000000001572
26,15H 48M 54.415S,6134.646,0.485000000000582
27,15H 48M 54.576S,6134.807,0.161000000000058
28,15H 48M 54.622S,6134.853,0.0460000000020955
29,15H 48M 54.7S,6134.931,0.0779999999940628
30,15H 48M 54.703S,6134.934,0.00300000000424916
31,15H 48M 54.765S,6134.996,0.0619999999980791
32,15H 48M 54.825S,6135.056,0.0599999999976717
33,15H 48M 54.846S,6135.077,0.0210000000006403
34,15H 48M 54.936S,6135.167,0.0900000000037835
35,15H 48M 54.938S,6135.169,0.00200000000040745
36,15H 48M 55S,6135.231,0.0619999999980791
37,15H 48M 55.141S,6135.372,0.14100000000326
38,15H 48M 55.405S,6135.636,0.263999999995576
39,15H 48M 58.496S,6138.727,3.09100000000035
40,15H 48M 58.803S,6139.034,0.307000000000698
41,15H 48M 59S,6139.231,0.197000000000116
42,15H 48M 59.341S,6139.572,0.341000000000349
43,15H 48M 59.492S,6139.723,0.150999999998021
44,15H 49M 0S,6140.231,0.50800000000163
45,15H 49M 7.14S,6147.371,7.13999999999942
46,15H 49M 13.315S,6153.546,6.17500000000291
47,15H 49M 13.405S,6153.636,0.0899999999965075
48,15H 49M 14S,6154.231,0.595000000001164
49,15H 49M 20.83S,6161.061,6.83000000000175
50,15H 49M 45.271S,6185.502,24.4409999999989
51,15H 49M 48S,6188.231,2.72899999999936
52,15H 49M 59.723S,6199.954,11.7229999999981
53,15H 50M 0S,6200.231,0.277000000001863
54,15H 54M 0S,6440.231,240
